태그,질문,기술 분야,기술 키워드,세부 기술 키워드
"be, architecture, real-time_data_processing","네이버 쇼핑 탭에서 보여지는 상품의 노출 순위를 조회할 때, 실시간성을 반영해야한다면 어떻게 구현하시겠어요? 예를 들어, 급격하게 상품 노출 순위가 올라가는 경우에 실시간으로 이를 반영하려면 어떻게 할 수 있을까요?",BE,Architecture,real-time data processing
crawling,크롤러가 블락되는 경우 어떻게 대응하는 것이 좋을까요?,BE,Crawling,
,"인증 방식으로 JWT를 사용해 보신 적이 있다면, JWT에 대해 간단히 설명해 주실 수 있나요?","BE, FE",JWT,
"be, jpa, n+1","JPA를 사용하실 때, N+1 문제를 겪어보셨다면 경험한 사례와 해결한 방법에 대해서 설명해주실 수 있나요?",BE,JPA,n+1
experience,날짜 및 상품 별 판매 데이터 집계 과정에서 발생한 성능 문제는 없었나요?,BE,DB,
"experience, db",DB 장애를 경험해보신 적이 있나요? 어떤 문제였고 어떻게 해결하셨나요?,BE,DB,
"rdbms, concurrency_control, lock, transaction, deadlock",RDBMS의 lock과 transaction의 개념을 이해하고 계신가요? 어떻게 하면 deadlock을 인위적으로 만들 수 있을까요?,BE,DB,
"soft skills, communication",같이 협업했던 팀원들에게 제일 많이 받았던 피드백은 무엇인가요? 혹은 받았던 피드백 중 가장 인상 깊었던 피드백이 있나요?,"BE, FE",softskill,
soft skills,협업하기에 좋은 개발 문화는 어떤 것이라고 생각하시나요? 혹은 기존에 존재하던 비효율적인 협업을 효율적으로 개선해본 경험이 있을까요?,"BE, FE",softskill,
"move, blockchain, memcash",블록체인 박제 및 검증 API에서 memcached 가 적용된 부분을 설명해주세요.,BE,"Blockchain, memcashed",
message_queue,"빠른 응답을 위해 MessageQueue를 적용했는데, 만약 중복되지 않고 단 한 번의 발송만을 보장해야한다는 요구사항이 들어오면 어떻게 처리할 수 있을까요? [요청을 처리하는 API 서버는 여러대로 구성된 분산된 환경임을 가정합니다.]",BE,message queue,
"api, rate_limit",API 연동 작업을 진행하면서 발생할 수 있는 Rate Limit 문제는 어떻게 해결할 수 있을까요?,BE,rate limit,
zero-downtime deployment,"운영 중인 서비스에서 무중단 배포를 진행해야 한다면, 어떤 방법을 사용할 수 있을까요?",BE,zero-downtime deployment,
"be, fe, architecture, chat, file","채팅 서비스에서 이미지나 파일 전송 기능을 구현해야 한다면, 어떻게 설계하고 구현할 수 있을까요?","BE, FE",Architecture,Chat
"be, transaction, orm","Backend에서 Transaction을 처리한 경험이 있을까요? ORM 같은것을 사용하게 되면 Transaction을 사용할 때, DB에 Query가 날라가는데 어떤 Query들이 발생하고 어떤 메커니즘으로 동작하는지 알고 계신가요?",BE,DB,orm
query-optimization,"쿼리 최적화를 해보셨나요? 어떤 쿼리가 문제인지를 어떻게 찾았고, 원인 분석을 어떻게 했으며, 어떻게 대응했는지 알려주시겠어요?",BE,DB,query-optimization
django,"Django에서 prefetch_related, selected_related의 차이를 설명해주실 수 있을까요?",BE,Django,
"experience, code_review",프로젝트를 진행하면서 코드 리뷰에서 무엇을 배웠나요? 팀 동료들에게 리뷰를 한 것중에 기억에 남는 리뷰가 있으신가요?,"BE, FE",softskill,Code Review
etc,"의견 충돌이 있는 상황에서 어떤 기술이나 방법론이 좋아보일 때, 이를 어떻게 팀원들에게 설득할 것인가요?","BE, FE",softskill,
"be, rate_limit","자동으로 스레드를 생성하는 시스템에서 API 요청이 많아 Rate Limit에 걸릴 위험이 있다면, 이를 피하기 위해 어떻게 구현할 수 있을까요?",BE,rate limit,
"experience, ","시스템 성능 문제를 해결한 경험이 있으시다면, 과부하 상황에서 문제의 원인을 어떻게 파악하고 해결하셨는지 설명해 주실 수 있을까요?",BE,overload,
be,RDBMS의 index에 대해 설명해주시겠어요?,BE,DB,
BE,Database Transaction Isolation level에 대해서 설명해주실 수 있을까요?,BE,DB,
BE,"DeadLock을 인위적으로 만드려면 어떻게 해야할까요? 그리고, 이 문제를 해결하려면 어떤 방법을 취할 수 있을까요?",BE,DB,
etc,"사용자의 불편함을 분석하고 개선한 경험이 있으시다면, 그 사례를 공유해 주실 수 있을까요?","BE, FE",UI/UX,
etc,엔지니어 또는 비 엔지니어와 협업시에 커뮤니케이션에서 겪었던 문제가 무엇인가요? 그리고 어떻게 해결하셨나요?,"BE, FE",softskill,
etc,일했턴 팀 내에서 OO님을 소개해달라고 하면 어떻게 소개할 것 같나요?,"BE, FE",softskill,
etc,"다양한 직군과 협업해본 경험이 있다면, 여러 직군과의 협업과정에서 발생하였던 도전 과제는 무엇이었고, 이를 어떻게 해결하셨나요?","BE, FE",softskill,
BE,은행과 같은 복잡한 시스템에서 간결한 구조를 유지하면서도 고객에게 빠른 서비스를 제공하기 위한 아키텍처적 접근 방식은 무엇이 있을까요?,BE,Architecture,domain_finance
BE,빠르게 변화하는 금융 요구사항을 반영하기 위해 확장이 용이한 시스템을 설계한 경험이 있나요? 어떤 패턴을 사용하여 시스템을 확장 가능하게 만들었는지 설명해 주세요.,BE,Architecture,"Design Pattern, domain_finance"
BE,"비즈니스 요구사항을 반영하여 데이터 모델과 API를 설계한 경험이 있다면 그 경험에 대해 설명해 주세요. 이 과정에서 가장 어려운 점은 무엇이었고, 이를 어떻게 해결하셨나요?",BE,Architecture,
BE,"MSA 경험이 있다면, 경험에서 특정 아키텍처를 선택한 이유와 장단점은 무엇인가요?",BE,Architecture,MSA
BE,"금융 시스템에서는 고가용성이 매우 중요한데, 고가용성을 보장하는 시스템을 구축한 경험이 있나요? 장애 복구 계획을 어떻게 설계하고 구현하셨는지 설명해 주세요.",BE,Architecture,"domain_finance, high availability"
BE,"본인이 수행했던 프로젝트 중 가장 대용량 서비스는 무엇이었고, 동시접속자 수가 많은 경우의 문제는 어떻게 해결했나요?",BE,Architecture,traffic
BE,"가장 자신있는 오픈소스는 무엇이고, 그 이유는 무엇인가요?","BE, FE",opensource,
BE,고객 데이터를 안전하게 보호하면서 대규모 트래픽을 처리할 수 있는 시스템을 구축한 경험이 있나요? 특히 보안과 성능을 동시에 고려한 설계 방안을 설명해 주세요.,BE,Architecture,traffic
BE,"Kotlin 또는 Java를 사용하여 Spring Framework 기반의 서비스를 개발한 경험에 대해 설명해 주세요. 특히, 어떤 프로젝트에서 이러한 기술 스택을 선택하셨고, 성능 및 유지보수 측면에서 어떤 장점을 발견하셨나요?",BE,Spring,
BE,"대규모 트래픽을 안정적으로 처리해야 하는 상황에서 어떤 아키텍처적 결정을 내리셨고, 성능을 최적화하기 위해 사용한 기술적 접근 방식은 무엇이었나요?",BE,Architecture,traffic
BE,"Redis를 사용하여 문제를 해결해보신 경험이 있나요? 해당 기술을 어떤 시나리오에서 활용했으며, 이들 기술의 도입이 시스템 성능에 어떤 영향을 미쳤나요?",BE,Monolithic Architecture,Redis
BE,비즈니스 요건을 바탕으로 데이터 모델과 API를 설계한 경험에 대해 설명해 주세요. 설계 과정에서의 주요 고려 사항과 복잡한 요건을 처리하기 위해 사용한 기법은 무엇이었나요?,BE,Architecture,API
BE,"외부 사용자 대상 서비스와 내부 시스템을 개발해 본 경험이 있으시다면, 두 경우에서의 접근 방식 차이점이나 기술적 도전 과제는 무엇이었나요?",BE,Architecture,
FE,Vue.js가 다른 자바스크립트 기반 언어와 비교하여 어떤 장단점이 있는지 설명해주세요.,FE,Vue.js,
BE,API를 설계하고 개발하는 과정에 대해 DB 설계와 함께 설명해주세요.,BE,Architecture,DB
BE,Netty나 Spring WebFlux를 사용하여 비동기 서버 시스템을 구축한 경험이 있나요? 해당 기술을 선택한 이유와 시스템 성능에 미친 영향을 구체적으로 설명해 주세요.,BE,Spring,Asynchronous
BE,"웹 방화벽 구축 경험이 있으시면, 웹 방화벽과 그냥 방화벽, IPS, IDS를 비교해주세요.",BE,firewall,
BE,CI/CD 파이프라인을 구축한 경험이 있나요? 이를 통해 배포 자동화와 안정성을 어떻게 향상시켰는지 구체적인 사례를 설명해 주세요.,"BE, FE",CI/CD,
BE,HTTP 프로토콜을 사용하여 서버 간 통신에 보안성과 빠른 성능을 최적화한다면 개발자로서 무엇을 생각해볼 수 있을까요?,"BE, FE",http,
BE,"Spring Framework의 생명주기와 구조에 대한 깊은 이해가 필요한 작업을 수행하신 경험이 있다면, 어떤 역할을 맡으셨나요? 특히 의존성 주입과 같은 기능을 어떻게 활용하셨나요",BE,Spring,
BE,"SessionDB 대신 JWT를 사용하여 비용을 절감한 선택이 있다면, 이로 인해 발생할 수 있는 단점이나 문제점은 무엇일까요?",BE,JWT,
